Loại liệu trình,Tên liệu trình,Chi tiết liệu trình (các bước thực hiện),Thời gian thực hiện liệu trình (phút),Giá / lần (VND),Giá combo 5 lần (tặng 1 lần) (giảm 20%)(VND),Giá combo 10 lần (tặng 3 lần) (30%) (VND)
Facial - Chăm sóc da mặt,Chăm da Amino - Phù hợp mọi loại da,,60,  1.350.000 ,  5.400.000 ,  9.450.000 
Facial - Chăm sóc da mặt,Chống lão hoá - Photo,"Dịch vụ chăm sóc da mặt tại Allure Spa sử dụng công nghệ Photo Facial kết hợp với Tế bào gốc. Dải ánh sáng với tần suất phù hợp của công nghệ Photo facial kết hợp với tế bào gốc tại đặt trên mặt nạ Biocellulose với những sợi mịn cực nhỏ cấp độ 2-100 nano: giúp da hấp thu nhanh những hoạt chất giữ ẩm và hỗ trợ độ bám cho serum làm đẹp, thẩm thấu các thành phần làm đẹp và hiệu quả cho da.

Sự kết hợp hoàn hảo này mang lại hiệu quả bất ngờ: 

Tác động sâu vào cấu trúc da, tiêu diệt hoàn toàn các ổ vi khuẩn gây mụn, nám… một cách nhẹ nhàng, không làm tổn thương, đau hay để lại sẹo.
Kích thích từng tế bào da, giúp các tế bào gốc được đưa sâu vào các mô bên dưới biểu bì, mang lại làn da khỏe khoắn, tươi trẻ từ bên trong
Đặc biệt khi áp dụng trong việc điều trị các vết nám, tàn nhang, mụn, da bị mẫn cảm… sẽ cho hiệu quả tức thì ngay từ lần đầu tiên!
Sau khi được nghệ nhân Nhật Bản tư vấn về quy trình, các kỹ thuật viên dưới sự giám sát của chuyên viên người Nhật, sẽ thực hiện quy trình gồm 6 bước:

Bước 1: Cleansing
Bước 2: Washing
Bước 3: Massage lưu thông hệ bạch huyết
Bước 4: Chăm sóc và phục hồi da với công nghệ PHOTO
Bước 5: Đi dưỡng chất tế bào gốc (BIONIC CELLCER)Bước 6: Đắp mặt nạ dưỡng trắng & massage thư giãn đầu, vai, cổ",45,  1.350.000 ,  5.400.000 ,  9.450.000 
Facial - Chăm sóc da mặt,Dưỡng trắng - Trị nám,"Dưỡng trắng da an toàn theo phương pháp FluorOxygen+C. Đây là liệu trình không làm da bị bong tróc mà từ từ trắng lên tự nhiên. Bạn sẽ cảm thấy làn da trắng mong manh như giọt sương mai nhưng vẫn giữ được độ dẻo dai và đàn hồi vốn có.
Phương pháp này ứng dụng kỹ thuật làm trắng sáng da bằng Oxy, Vitamin C và thành phần dưỡng trắng Bio-Light để giữ da trong mướt, mềm mịn hơn.
Vết nám, tàn nhang trên mặt có thể là nỗi tự ti của nhiều chị em. Đây là một dạng rối loạn sắc tố da do di truyền hoặc bởi tác động từ môi trường bên ngoài làm da bị ảnh hưởng. Nguyên nhân chủ yếu là do các sắc tố melanin (sắc tố khiến da đen sạm) tăng lên quá mức khiến da hình thành các đốm nâu nhạt, nâu đen hoặc đỏ, dần tạo thành nám và tàn nhang.

Phương pháp làm mờ tàn nhang tại Allure áp dụng liệu trình chăm sóc da bài bản, thực tế từ phụ nữ Nhật Bản. Trong đó, công nghệ Photo Facial – sử dụng ánh sáng với tần suất phù hợp được phối hợp thực hiện nhằm mang lại hiệu quả tốt nhất cho làn da.",90,  1.800.000 ,  7.200.000 ,  12.600.000 
Facial - Chăm sóc da mặt,Collagen Tươi,,55,  1.250.000 ,  5.000.000 ,  8.750.000 
Facial - Chăm sóc da mặt,Peeling da,,70,  2.500.000 ,  10.000.000 ,  17.500.000 
Massage,Massage body,,60,  390.000 ,  1.560.000 ,  2.730.000 
Massage,Thải độc ruột - Massage nội tạng,,60,  750.000 ,  3.000.000 ,  5.250.000 
Massage,Massage Nâng cơ vòng 1,,60,  950.000 ,  3.800.000 ,  6.650.000 
Massage,"Massage Cổ, Vai, Gáy",,60,  350.000 ,  1.400.000 ,  2.450.000 
Massage,"Gội đầu chống rụng tóc kết hợp massage cổ, vai, gáy",,45,  160.000 ,  640.000 ,  1.120.000 
Massage,Xông hơi ngải cứu,,60,  400.000 ,  1.600.000 ,  2.800.000 
Massage,"Xăm mày, môi nghệ thuật",Xăm mày + môi + áp dụng cho 2 lần làm,,  4.000.000 ,,
Giảm béo,Giảm béo bụng,,,  600.000 ,  2.400.000 ,  4.200.000 
Giảm béo,Giảm béo eo,,,  400.000 ,  1.600.000 ,  2.800.000 
Giảm béo,Giảm béo mông,,,  400.000 ,  1.600.000 ,  2.800.000 
Giảm béo,Giảm béo tay,,,  400.000 ,  1.600.000 ,  2.800.000 
Giảm béo,Giảm béo chân,,,  600.000 ,  2.400.000 ,  4.200.000 
Giảm béo,Giảm béo toàn thân,,,  2.400.000 ,  9.600.000 ,  16.800.000 
Triệt lông,Triệt lông Bikini,,,  800.000 ,  3.200.000 ,  5.600.000 
Triệt lông,Triệt lông nách,,,  250.000 ,  1.000.000 ,  1.750.000 
Triệt lông,Triệt lông chân (nửa chân),,,  350.000 ,  1.400.000 ,  2.450.000 
Triệt lông,Triệt lông chân (nguyên chân),,,  700.000 ,  2.800.000 ,  4.900.000 
Triệt lông,Triệt lông tay,,,  450.000 ,  1.800.000 ,  3.150.000 
Triệt lông,"Triệt lông mặt, ria mép",,,  250.000 ,  1.000.000 ,  1.750.000 
Triệt lông,Triệt lông toàn thân,,,  2.200.000 ,  8.800.000 ,  15.400.000 
